タイトル	概要	データのタイトル	データの識別子	著作のタイトル	著作の責任	著作の時期	著作の年	著作の構成	バージョンの責任	バージョンの成立時期	バージョンの成立年	バージョンの技法	バージョンの大きさ（縦×横）	バージョンの行字数	資料化の技法	外題	数量	装訂	大きさ（縦×横）	印記	出所	状態	請求記号	原簿番号	付加的記載	参考文献	資料化の時期	資料化の年	バージョンの成立場所	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcterms:description	uparl:titleOfTheData	uparl:identifierOfTheData	uparl:titleOfTheWork	uparl:responsibilityOfTheWork	uparl:dateOfTheWork	uparl:yearOfTheWork	uparl:constitutionOfTheWork	uparl:responsibilityOfTheVersion	uparl:dateOfTheVersion	uparl:yearOfTheVersion	uparl:techniqueOfTheVersion	uparl:dimensionsOfTheVersion	uparl:linageOfTheVersion	uparl:techniqueOfTheMaterialization	uparl:externalTitle	uparl:quantity	uparl:bibliopegy	uparl:dimensions	uparl:seal	uparl:provenance	uparl:condition	uparl:callNumber	uparl:ledgerNumber	uparl:additionalDescription	uparl:reference	uparl:dateOfTheMaterialization	uparl:yearOfTheMaterialization	uparl:placeOfTheVersion	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	4049
古今歴代十八史略 一 [A004313-01]	中国元時代に刊行された漢籍。南葵文庫。	古今歴代十八史略二巻首一巻 Gujin Lidai Shibashi Lüe 2 juan shou 1 juan 古今历代十八史略二卷首一卷 古今歷代十八史略二卷首一卷	A004313	(巻首題)古今歴代十八史略	(元)曽先之編	南宋末期, 元初期	13-14世紀	首巻, 2巻	勤徳書堂刊	元	13-14世紀	木版	(内框)17.0×11.9cm	15行行26字, 首巻14行行26字	印本	十八史略, 元槧十八史略	2冊	線装, 四針眼釘法	20.1×13.9cm	昌平坂学問所, 東京帝国大学図書印, 琴川, 南葵文庫, 島田氏双桂楼収蔵, 島田重礼, 敬甫, 島田重礼敬甫氏, 双桂書楼	島田重礼旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	書き入れあり, 裏打ち修復済み, 虫損あり	A00-4313	B30966						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1519c399-d096-4f06-b8a0-f6fc0c14deaa.json	1519c399-d096-4f06-b8a0-f6fc0c14deaa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/1519c399-d096-4f06-b8a0-f6fc0c14deaa	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/664eba1af7f0d982c7ec2a2fadad0beec1f96e88.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186421	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A004313-01		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186421/manifest					100
古今歴代十八史略 二 [A004313-02]	中国元時代に刊行された漢籍。南葵文庫。	古今歴代十八史略二巻首一巻 Gujin Lidai Shibashi Lüe 2 juan shou 1 juan 古今历代十八史略二卷首一卷 古今歷代十八史略二卷首一卷	A004313	(巻首題)古今歴代十八史略	(元)曽先之編	南宋末期, 元初期	13-14世紀	首巻, 2巻	勤徳書堂刊	元	13-14世紀	木版	(内框)17.0×11.9cm	15行行26字, 首巻14行行26字	印本	十八史略, 元槧十八史略	2冊	線装, 四針眼釘法	20.1×13.9cm	昌平坂学問所, 東京帝国大学図書印, 琴川, 南葵文庫, 島田氏双桂楼収蔵, 島田重礼, 敬甫, 島田重礼敬甫氏, 双桂書楼	島田重礼旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	書き入れあり, 裏打ち修復済み, 虫損あり	A00-4313	B30966						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0670647a-064d-430b-8bce-4b17b859a0dc.json	0670647a-064d-430b-8bce-4b17b859a0dc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/0670647a-064d-430b-8bce-4b17b859a0dc	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a691ed81450b2fd1c71bf7ed8a93cd23bcace22d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186422	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A004313-02		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186422/manifest					82
元氏長慶集 四十三至四十六 四十八 [A005824]	中国南宋時代に刊行された漢籍(部分)。青洲文庫。	元氏長慶集残五巻 Yuan Shi Changqing Ji can 5 juan 元氏长庆集残五卷 元氏長慶集殘五卷	A005824	(巻首題)元氏長慶集	(唐)元稹撰		779-831年	60巻		(南宋)孝宗朝, 光宗朝, 寧宗朝*	1162-1224年*	木版	(内框)21.2×14.8cm	13行行23字	印本		1冊	蝴蝶装	25.9×18.2cm	東京帝国大学図書印, 賜蘆文庫, 梅堂経眼, 不忍文庫, 浅野氏章, 子孫世昌, 青洲文庫, 新井文庫	新見正路旧蔵, 浅野長祚旧蔵, 渡辺信旧蔵, 東京大学総合図書館所蔵	巻43-46, 48のみ存する, 裏打ち修復済み	A00-5824	B3295	伊東祐相跋	"*東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k27.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k27.html</a>"				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e83feb8-f9a8-4275-9263-a7446fb4bf35.json	4e83feb8-f9a8-4275-9263-a7446fb4bf35	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/4e83feb8-f9a8-4275-9263-a7446fb4bf35	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a7b464a55cd98b53e56b0dc4c3d4149f570fa34c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186423	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005824-00		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186423/manifest					31
増広竜龕手鑑 一 [A005902-01]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/01651af9-fad6-4902-afb0-de0b2e89f669.json	01651af9-fad6-4902-afb0-de0b2e89f669	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/01651af9-fad6-4902-afb0-de0b2e89f669	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c9ca194be7fa9e53f8655b7042524a24d4bba30d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186424	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-01		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186424/manifest					81
増広竜龕手鑑 二 [A005902-02]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d794becc-5366-4baa-b1fa-925f238c9757.json	d794becc-5366-4baa-b1fa-925f238c9757	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/d794becc-5366-4baa-b1fa-925f238c9757	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/376fbb320dcd0d78af3e6401fb4eb1619ec6f247.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186425	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-02		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186425/manifest					78
増広竜龕手鑑 三 [A005902-03]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2c45cdd0-2f49-4774-aad9-4c51d889c0be.json	2c45cdd0-2f49-4774-aad9-4c51d889c0be	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/2c45cdd0-2f49-4774-aad9-4c51d889c0be	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d1b06c53d9e4606abbbdacecbab604bf205fba36.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186426	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-03		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186426/manifest					95
増広竜龕手鑑 四 [A005902-04]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e02e9f81-fa2a-4d76-b916-371e6d50b9ed.json	e02e9f81-fa2a-4d76-b916-371e6d50b9ed	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/e02e9f81-fa2a-4d76-b916-371e6d50b9ed	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/572508121d128052ec32491cada92a5a213e2d69.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186427	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-04		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186427/manifest					94
増広竜龕手鑑 五 [A005902-05]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce28884f-5a96-4d46-8a8a-9fe623789e1c.json	ce28884f-5a96-4d46-8a8a-9fe623789e1c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/ce28884f-5a96-4d46-8a8a-9fe623789e1c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6dab5c87d7abfd36897a7c710f2ca816bfc3efbc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186428	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-05		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186428/manifest					106
増広竜龕手鑑 六 七 [A005902-06]	日本古活字本の漢籍。南葵文庫。	増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷	A005902	(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑	(遼)行均撰	(遼)統和15年	997年	8巻		(日本)元和年間	1615-1624年	古活字版	(内框)23.0×16.9cm	10行行16字	印本		7冊	線装, 四針眼釘法	27.0×19.8cm	東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記	小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵	虫損あり, シミあり	A00-5902	B45901			(日本)元和年間	1615-1624年		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f49833d4-dd9c-4dac-ae9d-2fde833954cc.json	f49833d4-dd9c-4dac-ae9d-2fde833954cc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/f49833d4-dd9c-4dac-ae9d-2fde833954cc	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e0e4cceb7f67b2a654e0ca190209e829893a461.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186429	東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		漢籍・碑帖拓本資料	A005902-06		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186429/manifest					102
